prompt,ids_str,type
Explain the rules and strategy of chess.,"89342,374,264,1403,43467,8446,4580,1847,1405,4311,3351,9863,320,299,35322,11,71630,11,66723,11,323,70097,8,311,12602,279,15046,596,11734,13,5810,527,279,6913,5718,323,15174,1473,334,27099,25,57277,16,13,578,1847,8638,449,279,6642,315,279,4580,323,279,22165,315,9863,320,299,35322,11,71630,11,66723,11,323,70097,8,389,279,1176,2872,627,17,13,25640,25631,10800,11,449,1855,3351,31706,315,264,3254,3351,369,279,2851,311,1304,627,18,13,578,5915,374,311,12602,279,15046,596,11734,555,25012,701,9863,304,264,2361,311,3440,872,11734,382,334,2645,70488,25,57277,16,13,3146,3353,279,5955,68063,578,4219,315,279,4580,374,279,1455,3062,3158,11,439,433,5825,279,1455,31139,323,2585,13,9934,311,2035,701,9863,304,279,4219,311,8895,459,9610,627,17,13,3146,21076,4718,68640,68063,14903,701,9863,704,505,872,6041,10093,311,2274,1124,323,3440,701,15046,596,9863,627,18,13,3146,62647,4718,6342,68063,13969,701,11734,6220,555,25012,9863,304,4156,315,433,311,2565,4754,8951,627,19,13,3146,86413,29696,68063,43750,701,281,41096,311,1893,264,6573,54555,6070,430,11815,701,9863,323,29034,701,15046,505,6968,264,54555,13766,382,334,50179,25,57277,9,5256,449,264,6573,54555,6070,323,2274,701,9863,6288,627,9,7935,279,4219,315,279,4580,311,8895,459,9610,627,9,13969,701,11734,6220,323,2682,627,9,21834,8469,323,3197,701,11031,15884,382,1383,2768,1521,5718,323,15174,11,499,3358,387,1664,389,701,1648,311,10671,264,33819,7491,13,128009",watermarked
Explain the rules and strategy of chess.,"89342,374,264,1403,43467,8446,4580,1847,449,5016,5718,323,15174,13,5810,596,264,16195,24131,1473,334,79406,25,1035,791,16945,315,33819,374,311,1817,18543,701,15046,596,11734,11,902,3445,279,11734,374,304,264,2361,311,387,17439,320,258,330,2071,4063,477,279,11734,374,304,1817,323,4250,12731,320,258,330,2071,18543,82084,334,16323,23694,25,57277,16,13,3146,19952,82,68063,25640,25631,10800,11,449,1855,2851,7366,832,6710,520,264,892,627,17,13,3146,39150,68063,9062,6710,706,264,5016,7351,5497,512,197,9,6342,25,3053,3351,832,9518,304,904,5216,320,20100,51501,11,52035,11,477,85118,750,4390,197,9,16657,25,3053,3351,904,1396,315,32440,304,904,5216,320,20100,51501,11,52035,11,477,85118,750,4390,197,9,432,1982,25,3053,3351,59988,477,52035,904,1396,315,32440,627,197,9,34342,25,3053,3351,85118,750,904,1396,315,32440,627,197,9,23844,25,57699,304,459,445,7666,2070,320,20375,32440,304,832,5216,11,1243,832,9518,311,279,3185,4390,197,9,83971,25,3053,3351,4741,832,9518,11,719,41255,85118,750,832,9518,627,18,13,3146,41636,1711,68063,362,6710,649,12602,459,15046,596,6710,555,20948,389,279,9518,25366,555,430,6710,627,19,13,3146,20989,57699,25,1035,197,9,11514,2785,25,46871,279,11734,311,3351,2380,32440,7119,264,938,564,11,1418,279,938,564,11031,311,279,9518,279,11734,28129,627,197,9,2998,10175,519,25,46871,279,2851,311,12602,459,15046,596,54555,330,268,1522,519,1,439,422,433,1047,7882,1403,32440,11,1524,422,1193,832,9518,627,197,9,57204,25,3277,264,54555,25501,279,14329,3185,315,279,4580,11,433,649,387,30026,311,904,6710,320,11945,264,11734,3677,334,2645,70488,25,57277,16,13,3146,3353,279,5955,68063,578,4219,32440,527,279,1455,3062,389,279,4580,13,9934,311,2585,439,1690,439,3284,449,701,281,41096,323,9863,627,17,13,3146,21076,4718,68640,68063,14903,701,9863,704,505,872,6041,10093,323,2274,1124,7119,279,4219,315,279,4580,627,18,13,3146,62647,4718,6342,68063,13969,701,11734,6220,555,6445,2785,323,25012,9863,304,4156,315,433,311,2565,4754,8951,627,19,13,3146,29702,42264,21387,68063,65647,701,15046,596,7621,3585,11,1778,439,32244,2954,281,41096,477,9863,430,527,539,1664,88213,627,20,13,3146,10464,393,41096,29323,2740,68063,393,41096,649,387,1511,311,3440,7621,3585,11,719,814,649,1101,387,1511,311,2565,8951,477,1893,30740,627,21,13,3146,39787,77544,68063,6898,8608,349,701,15046,596",non_watermarked
Write a review of your favorite movie.,"40,2846,6380,311,3350,264,3477,11,719,358,2011,38263,430,358,2846,264,3544,4221,1646,11,358,1541,956,617,4443,19882,477,21958,11,323,358,1541,956,617,264,7075,5818,13,4452,11,358,649,3493,264,4689,3477,315,264,7701,55985,5818,382,2746,358,1047,311,5268,264,5818,311,3477,11,358,1053,5268,330,791,36285,939,1201,89741,1,320,2550,19,570,1115,7701,50082,4632,374,264,8147,20156,922,3987,11,56752,11,323,279,3823,9090,13,78305,555,9454,15367,370,546,11,279,5818,10975,279,3446,315,1403,28240,11,3816,320,44,8629,50664,8,323,25871,320,20830,88315,705,889,1376,459,17821,11049,13,3161,19310,24601,11,33596,5885,11,323,264,81291,51728,11,330,791,36285,939,1201,89741,1,374,264,2011,12,4151,5818,369,5606,382,791,4632,596,22100,315,3987,11,11542,11,323,279,2410,315,279,3823,9090,617,29280,660,449,30994,15603,13,1102,596,264,5818,430,690,5387,499,8430,14948,323,97547,291,13,128009",watermarked
Write a review of your favorite movie.,"40,2846,6380,311,3350,264,3477,315,264,5818,11,719,358,2011,38263,430,358,1541,956,617,4443,19882,477,21958,11,6463,656,358,617,279,5845,311,3821,477,4774,9698,1093,12966,656,13,4452,11,358,649,3493,264,4689,3477,315,264,5526,5818,382,334,20244,10506,25,57277,3936,25,330,791,11892,1,320,2550,24,696,22940,25,220,20,14,20,9958,271,10227,11892,1,374,264,3463,10039,85,10979,8198,17422,4632,5439,323,15910,555,279,468,613,4336,74,285,13,578,5818,11263,41744,320,42,5420,84,82852,705,264,6500,55222,889,52114,430,279,1917,568,8964,374,3604,264,46836,8903,3549,555,25530,12933,382,791,4632,596,5016,20955,315,1957,11,19675,11,323,9302,6372,706,1903,433,264,4612,11670,13,578,3361,6372,11,902,1051,64955,520,279,892,11,2103,3412,709,3432,13,578,5818,596,22100,315,53848,11,1949,690,11,323,279,7138,315,8903,527,2225,32100,323,58105,382,791,6445,11,2737,33767,16848,17019,22464,68,11,65551,59016,818,44610,11,323,52194,1226,2370,11,6493,3831,24601,430,923,8149,311,279,3446,13,578,4632,596,5573,11,24306,555,4418,17200,11,374,1101,67479,382,10227,11892,1,374,264,2011,12,4151,369,5606,889,32838,8198,17422,11,1957,11,477,19675,13,1102,596,264,5818,430,690,2567,499,389,279,6964,315,701,10954,11,7422,17693,922,279,22100,323,6848,10666,382,334,22940,15996,2996,25,57277,9,73789,25,220,20,14,20,198,9,19438,25,220,20,14,20,198,9,20796,30246,25,220,20,14,20,198,9,15457,25,220,20,14,20,198,9,28993,25,220,20,14,20,271,334,68744,367,25,57277,2746,499,2351,264,8571,315,8198,17422,11,1957,11,477,19675,11,330,791,11892,1,374,264,2011,12,4151,5818,13,1102,596,264,3463,10039,85,10979,4632,430,690,8815,701,51866,323,5387,499,449,264,29869,21455,13,128009",non_watermarked
Describe how the Internet works in simple terms.,"8586,596,264,4382,16540,315,1268,279,7757,4375,1473,791,7757,374,1093,264,2466,4009,315,19795,323,60395,430,4667,19002,682,2212,279,1917,13,3277,499,1390,311,2680,264,3997,477,3708,459,2613,11,701,3756,320,4908,264,6500,11,4641,11,477,21354,8,22014,264,1715,311,264,3622,320,4908,264,2466,6500,8,430,596,8599,311,279,7757,382,791,3622,22014,279,2038,1203,311,701,3756,11,323,430,596,1268,499,1518,279,3997,477,5371,279,2613,13,1115,1920,8741,927,279,7757,11,902,374,1093,264,13057,4009,315,30547,19795,382,39787,315,433,1093,420,25,499,2351,539,6089,8599,311,279,7757,11,719,499,649,3708,323,5371,2038,1555,264,6278,1543,320,4908,264,4641,477,7757,2532,9287,570,1115,6278,1543,8779,701,3756,2680,279,7757,323,28421,279,2038,311,701,3756,13,128009",watermarked
Describe how the Internet works in simple terms.,"791,7757,374,264,13057,4009,315,19002,430,19570,449,1855,1023,311,4430,2038,13,5810,596,1268,433,4375,304,4382,3878,1473,16,13,3146,79239,96618,578,7757,374,1903,709,315,11990,315,16692,11,902,527,1093,8147,19002,430,3637,323,3708,2038,627,17,13,3146,36395,96618,3277,499,1390,311,2680,264,3997,11,3708,459,2613,11,477,4232,264,1052,11,701,3756,320,4908,264,6500,477,4641,8,22014,264,1715,311,279,24379,3622,627,18,13,3146,79239,6013,96618,578,3622,21879,701,1715,323,22014,279,2038,1203,311,701,3756,627,19,13,3146,12600,96618,578,7757,374,264,4009,315,83416,16692,11,60275,11,323,32267,320,9181,19002,430,1520,279,7757,990,570,4314,7766,3137,311,1855,1023,1701,3361,15823,2663,32885,627,20,13,3146,1061,18874,96618,3277,701,3756,22014,264,1715,11,279,828,320,26125,8,374,11102,1139,2678,28133,323,3288,927,279,7757,1555,279,4009,627,21,13,3146,49,67195,2167,9629,96618,578,60275,304,279,4009,2167,279,28133,315,828,311,279,4495,3622,11,3196,389,279,2038,304,279,28133,627,22,13,3146,79239,3637,323,3708,2038,96618,3277,279,28133,5662,279,3622,11,814,527,9967,323,3288,1203,704,311,701,3756,627,23,13,3146,1061,374,12886,96618,4718,3756,21879,279,2038,323,649,1005,433,311,2680,279,3997,11,3708,459,2613,11,477,4232,264,1052,382,39787,315,433,1093,264,2466,6875,449,11990,315,6603,320,68796,570,3277,499,2610,369,264,2363,320,2079,705,279,95307,320,10140,8,67146,499,311,279,4495,2363,320,4120,8,311,1505,279,2038,499,1205,13,128009",non_watermarked
Describe the working of a smart home system.,"32,7941,2162,1887,374,264,4009,315,8599,7766,430,990,3871,311,10299,323,2585,5370,13878,315,264,2162,13,5810,596,264,44899,24131,315,1268,433,4375,1473,16,13,3146,41935,18052,96618,16147,2162,7766,11,1778,439,9139,3646,1900,11,13001,11,4868,18632,11,323,34802,11,527,8599,311,279,7757,1701,17664,27395,11,24783,11,477,1023,21401,14645,627,17,13,3146,3353,323,16967,96618,578,67798,11835,279,7766,1555,264,1217,22658,917,477,7899,18328,320,4908,50712,477,5195,22103,4390,18,13,3146,33775,6373,96618,578,1887,37577,4907,10648,323,84431,279,75170,11,13001,11,323,34802,311,30536,4907,15374,627,19,13,3146,7778,4868,96618,578,1887,22014,30350,323,6276,8870,2680,311,4868,18632,369,16967,323,2585,627,20,13,3146,34917,2162,33762,96618,578,1887,6276,40962,311,69711,5370,9256,11,1778,439,13353,1022,13001,994,539,304,279,3838,11,477,43468,279,9499,994,814,2351,3201,627,21,13,3146,52267,2585,96618,9176,7941,2162,7766,649,387,14400,1701,7899,11545,11,3339,433,4228,311,10299,279,1887,449,1120,264,2478,4339,382,1383,1701,1521,4519,11,7941,2162,6067,649,1473,12,10467,4907,323,8108,4907,19123,198,12,29757,685,2162,4868,323,9096,315,4059,198,12,40733,19679,323,15374,198,12,65184,8244,6981,323,95673,271,28589,11,7941,2162,6067,527,6319,311,1304,2324,8831,11,810,17125,11,323,810,32180,369,40962,13,128009",watermarked
Describe the working of a smart home system.,"32,7941,2162,1887,374,264,4009,315,83416,7766,430,1005,5557,323,279,7757,311,2585,323,69711,5370,13878,315,264,2162,13,5810,596,264,11944,24131,315,1268,264,7941,2162,1887,4375,1473,334,10660,25,57277,16,13,3146,19876,68063,578,8792,3756,430,34161,311,279,7757,323,29972,279,4553,7941,2162,1887,13,26379,2997,8339,38906,11,5195,5492,11,8325,5492,7850,11,477,18907,16147,42575,627,17,13,3146,41935,68063,16147,7766,1778,439,13001,11,9139,3646,1900,11,4868,18632,11,6134,32776,11,323,810,430,649,387,14400,39529,1701,264,22234,917,627,18,13,3146,36779,11278,68063,362,15528,7757,3717,374,2631,311,2680,323,2585,279,7941,2162,1887,382,334,4438,433,21785,25,57277,16,13,3146,22574,68063,3277,499,743,709,264,7941,2162,1887,11,499,1893,459,2759,11,4667,279,19240,311,279,7757,11,323,4685,279,5995,10721,389,701,7766,627,17,13,3146,3353,323,54878,68063,1472,649,1005,264,22234,917,311,2585,323,69711,5370,13878,315,701,7941,2162,1887,11,1778,439,512,197,9,45623,25,12268,389,51906,11,7652,33306,11,323,1933,9499,627,197,9,23258,3646,1900,25,28295,9499,11,9899,11,323,1524,7652,279,75170,39529,627,197,9,8398,89870,25,2806,3974,22609,11,5371,22736,11,323,2585,18632,39529,627,197,9,25166,16076,82,25,7935,2680,11,9899,4441,11,323,1524,1825,279,6134,39529,627,197,9,16147,5492,41477,25,28295,5110,11,9899,9256,11,323,1524,5371,22736,627,18,13,3146,25732,9742,68063,1472,649,2680,701,7941,2162,1887,39529,1701,264,22234,917,11,10923,499,311,2585,701,7766,505,12660,627,19,13,3146,35836,68063,4718,7941,2162,1887,22014,22736,311,701,22234,477,21354,994,2555,3062,8741,11,1778,439,512,197,9,12634,10648,198,197,9,25166,477,3321,8736,198,197,9,8398,30350,198,20,13,3146,52267,7935,68063,9176,7941,2162,6067,1101,1862,7899,2585,1555,4200,57619,1093,8339,50712,11,5195,22103,11,477,8325,76074,382,334,85423,25,57277,16,13,3146,1128,40647,68063,7935,701,7941,2162,1887,505,12660,11,520,904,892,627,17,13,3146,33775,67667,68063,20319,349,4907,59085,9256,323,7652,5110,39529,311,8108,4907,15652,627,18,13,3146,74137,68063,38522,22736,323,30350,311,6106,701,2162,323,3070,527,6220,627,19,13,3146,10480,2065,68063,19758,553,701,7941,2162,1887,311,5052,701,3966,323,19882,382,334,1163,43470,25,57277,16,13,3146,15712,68063,34763,701,7941,2162,1887,505,39238,323,45571,2680,627,17,13,3146,3386,3376,2968,68063,30379,430,2204,7941,2162,6067",non_watermarked
Compare the cultures of India and Japan.,"34648,323,6457,617,12742,27833,27367,555,872,5016,53210,11,32006,11,323,54001,38697,13,5810,596,264,12593,1473,9,256,3146,87475,10965,96618,6890,374,47904,36142,11,1418,6457,374,47904,1443,18614,13,1115,6811,22223,279,1648,1274,16681,449,7138,323,279,50058,627,9,256,3146,27414,29696,96618,7904,8396,374,3629,18255,1139,6445,288,11,1418,11002,8396,374,810,77271,20631,13,1115,6811,34453,3674,40851,323,12135,627,9,256,3146,27844,21023,96618,7904,36105,374,3967,369,1202,20057,323,15481,32523,11,1418,11002,36105,374,11495,369,1202,40075,323,3280,2786,13,7904,21644,3629,4668,264,7029,8205,315,49659,11,1418,11002,21644,5357,389,4382,14293,627,9,256,3146,97241,96618,7904,11401,374,3967,369,1202,34076,8146,323,57216,85927,11,1418,11002,11401,374,11495,369,1202,17832,2191,323,25679,389,6981,627,9,256,3146,40234,96618,6890,706,264,8294,1396,315,16627,14673,11,1418,6457,706,264,7701,8040,6873,1887,627,9,256,3146,15547,350,552,96618,7904,8689,3629,617,264,3831,5647,315,4029,323,5201,369,61776,11,1418,11002,8689,8541,311,387,810,3927,4633,627,9,256,3146,6359,96618,7904,7829,66159,279,12939,315,3070,323,4029,11,1418,11002,7829,7634,264,3831,25679,389,5201,369,61776,323,3674,26348,627,9,256,3146,66511,38470,96618,7904,10758,9404,3629,21736,264,2763,315,2678,3137,323,48887,4221,11,1418,11002,10758,9404,8541,311,387,810,2167,323,31439,627,9,256,3146,9470,323,38943,96618,7904,1989,323,18112,527,3967,369,872,57216,1841,85,826,323,40545,349,48679,11,1418,11002,1989,323,18112,527,11495,369,872,72770,14769,323,25679,389,15293,627,9,256,3146,25099,323,30704,96618,7904,4731,323,15612,527,3967,369,872,6485,81821,323,40545,349,24198,11,1418,11002,4731,323,15612,527,11495,369,872,4382,90113,323,26861,19567,382,9673,527,1120,264,2478,13878,315,279,27833,315,6890,323,6457,13,1102,596,7718,311,6227,430,13042,12062,649,13592,19407,2949,1855,3224,11,323,1070,596,2744,810,311,4048,922,279,17226,27833,315,279,1917,13,128009",watermarked
Compare the cultures of India and Japan.,"34648,323,6457,527,1403,315,279,1455,27387,5961,304,279,1917,11,449,9257,323,17226,27833,430,617,1027,27367,555,872,5016,53210,11,32006,11,323,2819,13,5810,596,264,12593,315,279,27833,315,6890,323,6457,1473,334,35502,1385,25,57277,16,13,3146,1079,1002,369,27965,388,96618,11995,7904,323,11002,27833,2035,264,1579,907,389,5201,369,61776,13,763,6890,11,433,596,73348,311,41886,9191,1274,449,264,16854,5642,477,264,15631,11,1418,304,6457,11,433,596,73348,311,15631,5304,6574,477,5605,47555,627,17,13,3146,53,17699,315,22037,96618,11995,27833,617,264,5655,5201,369,7138,13,763,6890,11,279,12939,315,12690,323,36658,374,30576,304,279,7434,315,330,85,21042,939,309,12874,1,320,9528,24863,705,1418,304,6457,11,279,7434,315,330,86,26140,1355,26140,1,320,10543,685,315,17190,13421,8,27053,264,4528,35996,369,279,5933,1917,627,18,13,3146,37,478,18734,323,33292,811,96618,11995,5961,617,264,9257,13470,315,45517,323,47674,13,763,6890,11,45517,1093,7923,86,8115,11,473,14559,11,323,12233,81,2416,527,13882,13468,11,1418,304,6457,11,45517,1093,45805,89859,316,95157,320,74225,10830,8,323,1561,9941,320,46,939,540,51843,8,527,5526,627,19,13,3146,2321,55249,389,12332,96618,11995,27833,2035,264,3831,25679,389,4029,323,3674,26348,13,763,6890,11,279,7434,315,330,1549,64,1,320,2497,4029,8,374,3062,11,1418,304,6457,11,279,7434,315,330,74,581,50657,1,320,37569,5812,8,374,16996,382,334,35,59426,25,57277,16,13,3146,87475,10965,96618,7904,7829,374,17345,28160,555,36142,2191,11,1418,11002,7829,374,47904,47841,13,1115,6811,304,75456,22223,279,1648,1274,3974,11,990,11,323,16681,449,1855,1023,627,17,13,3146,27414,29696,96618,7904,8396,374,3629,7633,439,70994,11,449,264,3831,25679,389,69524,323,3674,2704,13,763,13168,11,11002,8396,374,810,77271,20631,11,449,264,5357,389,4029,323,3674,26348,627,18,13,3146,27844,21023,96618,7904,36105,374,3967,369,1202,9257,20057,11,449,264,7029,2134,315,49659,11,42393,11,323,1023,14293,13,11002,36105,11,389,279,1023,1450,11,374,11495,369,1202,4382,3686,26861,26863,11,1778,439,67322,323,123537,627,19,13,3146,9470,323,38943,96618,7904,1989,323,18112,527,32971,555,57216,12912,11,53584,21483,11,323,40545,349,48679,13,11002,1989,323,18112,11,555,13168,11,527,3967,369,872,72770,323,27545,14769,11,3629,52913,5933,5540,1093,7732,323,9998,627,20,13,3146,66511,12179,96618,7904,10758,1742",non_watermarked
